SABOR,UNIDADE,QUANTIDADE,DATA,DIA DA SEMANA
TOALHA P,QUADRA 1,0,01/04/2026,quarta-feira
TOALHA P,CENTRAL,0,01/04/2026,quarta-feira
TOALHA P,NOROESTE,4,01/04/2026,quarta-feira
TOALHA P,ASA SUL,2,01/04/2026,quarta-feira
TOALHA P,ASA NORTE,2,01/04/2026,quarta-feira
TOALHA P,CONJ. NACIONAL,0,01/04/2026,quarta-feira
TOALHA P,LOJINHA,0,01/04/2026,quarta-feira
TOALHA P,SUDOESTE 1,4,01/04/2026,quarta-feira
TOALHA P,SUDOESTE 2,3,01/04/2026,quarta-feira
TOALHA P,GUARA,2,01/04/2026,quarta-feira
TOALHA P,JARDIM,3,01/04/2026,quarta-feira
TOALHA P,GILBERTO,1,01/04/2026,quarta-feira
TOALHA P,BAHAMAS,1,01/04/2026,quarta-feira
TOALHA P,CONTAINER,2,01/04/2026,quarta-feira
TOALHA P,POSTO,5,01/04/2026,quarta-feira
TOALHA P,ARNIQUEIRA,0,01/04/2026,quarta-feira
TOALHA P,EPNB,0,01/04/2026,quarta-feira
TOALHA P,GAMA,0,01/04/2026,quarta-feira
TOALHA P,RECANTO,0,01/04/2026,quarta-feira
TOALHA P,SAMAMBAIA,5,01/04/2026,quarta-feira
TOALHA P,SAMAMBAIA SUL,1,01/04/2026,quarta-feira
TOALHA P,PONTE ALTA,1,01/04/2026,quarta-feira
TOALHA P,ALAMEDA,0,01/04/2026,quarta-feira
TOALHA P,TAGUATINGA,2,01/04/2026,quarta-feira
TOALHA P,CEILANDIA,3,01/04/2026,quarta-feira
TOALHA P,VICENTE PIRES,0,01/04/2026,quarta-feira
PUDIM DE COCO,QUADRA 1,0,01/04/2026,quarta-feira
PUDIM DE COCO,CENTRAL,0,01/04/2026,quarta-feira
PUDIM DE COCO,NOROESTE,0,01/04/2026,quarta-feira
PUDIM DE COCO,ASA SUL,0,01/04/2026,quarta-feira
PUDIM DE COCO,ASA NORTE,0,01/04/2026,quarta-feira
PUDIM DE COCO,CONJ. NACIONAL,0,01/04/2026,quarta-feira
PUDIM DE COCO,LOJINHA,0,01/04/2026,quarta-feira
PUDIM DE COCO,SUDOESTE 1,0,01/04/2026,quarta-feira
PUDIM DE COCO,SUDOESTE 2,0,01/04/2026,quarta-feira
PUDIM DE COCO,GUARA,0,01/04/2026,quarta-feira
PUDIM DE COCO,JARDIM,0,01/04/2026,quarta-feira
PUDIM DE COCO,GILBERTO,0,01/04/2026,quarta-feira
PUDIM DE COCO,BAHAMAS,0,01/04/2026,quarta-feira
PUDIM DE COCO,CONTAINER,0,01/04/2026,quarta-feira
PUDIM DE COCO,POSTO,0,01/04/2026,quarta-feira
PUDIM DE COCO,ARNIQUEIRA,0,01/04/2026,quarta-feira
PUDIM DE COCO,EPNB,0,01/04/2026,quarta-feira
PUDIM DE COCO,GAMA,0,01/04/2026,quarta-feira
PUDIM DE COCO,RECANTO,0,01/04/2026,quarta-feira
PUDIM DE COCO,SAMAMBAIA,0,01/04/2026,quarta-feira
PUDIM DE COCO,SAMAMBAIA SUL,0,01/04/2026,quarta-feira
PUDIM DE COCO,PONTE ALTA,0,01/04/2026,quarta-feira
PUDIM DE COCO,ALAMEDA,1,01/04/2026,quarta-feira
PUDIM DE COCO,TAGUATINGA,2,01/04/2026,quarta-feira
PUDIM DE COCO,CEILANDIA,2,01/04/2026,quarta-feira
PUDIM DE COCO,VICENTE PIRES,0,01/04/2026,quarta-feira
PUDIM DE CHOCOLATE,QUADRA 1,0,01/04/2026,quarta-feira
PUDIM DE CHOCOLATE,CENTRAL,0,01/04/2026,quarta-feira
PUDIM DE CHOCOLATE,NOROESTE,0,01/04/2026,quarta-feira
PUDIM DE CHOCOLATE,ASA SUL,0,01/04/2026,quarta-feira
PUDIM DE CHOCOLATE,ASA NORTE,0,01/04/2026,quarta-feira
PUDIM DE CHOCOLATE,CONJ. NACIONAL,0,01/04/2026,quarta-feira
PUDIM DE CHOCOLATE,LOJINHA,0,01/04/2026,quarta-feira
PUDIM DE CHOCOLATE,SUDOESTE 1,0,01/04/2026,quarta-feira
PUDIM DE CHOCOLATE,SUDOESTE 2,0,01/04/2026,quarta-feira
PUDIM DE CHOCOLATE,GUARA,0,01/04/2026,quarta-feira
PUDIM DE CHOCOLATE,JARDIM,0,01/04/2026,quarta-feira
PUDIM DE CHOCOLATE,GILBERTO,0,01/04/2026,quarta-feira
PUDIM DE CHOCOLATE,BAHAMAS,0,01/04/2026,quarta-feira
PUDIM DE CHOCOLATE,CONTAINER,0,01/04/2026,quarta-feira
PUDIM DE CHOCOLATE,POSTO,0,01/04/2026,quarta-feira
PUDIM DE CHOCOLATE,ARNIQUEIRA,0,01/04/2026,quarta-feira
